INSTNM,STABBR,CONTROL,PREDDEG,COSTT4_A,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,GRAD_DEBT_MDN,C150_4,UGDS
California State University-Stanislaus,CA,1,3,18542.0,5671.0,,63188.0,13540,0.58,8564.0
California State University-San Bernardino,CA,1,3,16910.0,5918.0,,59977.0,14715,0.5465,15771.0
California State Polytechnic University-Pomona,CA,1,3,22672.0,11580.0,,71902.0,16000,0.6674,24271.0
California State University-Chico,CA,1,3,25590.0,14838.0,,64172.0,16552,0.6363,13057.0
California State University-Dominguez Hills,CA,1,3,15449.0,3659.0,,57162.0,13807,0.4685,12642.0
California State University-Fresno,CA,1,3,18650.0,6480.0,,61244.0,14505,0.5482,21070.0
California State University-Fullerton,CA,1,3,16767.0,5646.0,,62951.0,13750,0.6922,36956.0
California State University-East Bay,CA,1,3,22803.0,11276.0,,71401.0,16544,0.4551,10422.0
California State University-Long Beach,CA,1,3,20310.0,8931.0,,64403.0,14289,0.6986,34131.0
California State University-Los Angeles,CA,1,3,17153.0,4113.0,,59211.0,13000,0.5257,21478.0
California State University-Northridge,CA,1,3,20317.0,7599.0,,59115.0,13872,0.5618,32357.0
California State University-Sacramento,CA,1,3,22714.0,10512.0,,64876.0,15000,0.5582,27867.0
University of California-Berkeley,CA,1,3,42708.0,14979.0,,92446.0,13000,0.9289,33073.0
University of California-Davis,CA,1,3,38067.0,15288.0,,80838.0,13000,0.8507,31777.0
University of California-Irvine,CA,1,3,36121.0,12840.0,,80735.0,15000,0.8595,29494.0
University of California-Los Angeles,CA,1,3,36643.0,14013.0,,82511.0,14000,0.9266,33040.0
University of California-Riverside,CA,1,3,34975.0,13707.0,,67699.0,17500,0.7656,22644.0
University of California-San Diego,CA,1,3,36325.0,11750.0,,84943.0,15500,0.8763,33787.0
University of California-San Francisco,CA,1,4,,,,,PS,,
University of California-Santa Barbara,CA,1,3,36776.0,13825.0,,74915.0,13993,0.8533,23205.0
University of California-Santa Cruz,CA,1,3,38649.0,16607.0,,68396.0,16666,0.7445,17812.0
Sofia University,CA,3,3,,,,,PS,,7.0
California Beauty College,CA,3,1,,,11547.0,22255.0,PS,,73.0
Haven University,CA,2,4,,,,,,,22.0
California Hair Design Academy,CA,3,1,,,40350.0,19347.0,6333,,125.0
California Institute of the Arts,CA,2,3,78425.0,,47183.0,41198.0,25000,0.6415,881.0
California State University Maritime Academy,CA,1,3,27138.0,17555.0,,94784.0,24965,0.6682,761.0
California Western School of Law,CA,2,4,,,,,PS,,
Canada College,CA,1,2,9514.0,10.0,,50087.0,PS,,4878.0
College of the Canyons,CA,1,2,10243.0,2114.0,,49022.0,9612,,15365.0
Career Academy of Beauty,CA,3,1,,,19101.0,24410.0,6333,,207.0
Casa Loma College-Los Angeles,CA,2,2,,,27721.0,49854.0,26791,0.6322,581.0
CET-San Diego,CA,2,1,,,19875.0,32986.0,7041,,225.0
CET-San Jose,CA,2,1,,,15045.0,32986.0,7041,,175.0
CET-El Centro,CA,2,1,,,19211.0,32986.0,7041,,167.0
CET-Colton,CA,2,1,,,15800.0,32986.0,7041,,191.0
CET-Watsonville,CA,2,1,,,1532.0,32986.0,7041,,149.0
CET-Salinas,CA,2,1,,,6804.0,32986.0,7041,,187.0
Cerritos College,CA,1,1,8409.0,693.0,,41156.0,8447,,18710.0
Cerro Coso Community College,CA,1,2,15161.0,6078.0,,34963.0,PS,,3496.0
Chabot College,CA,1,2,12953.0,4616.0,,48143.0,9500,,10861.0
Chaffey College,CA,1,2,13553.0,5743.0,,42975.0,PS,,13568.0
Chapman University,CA,2,3,81327.0,,47527.0,70070.0,20500,0.8036,7629.0
